Amateur,Amateur,Amateur,beginnende Person,1,geschicktgendern
Amateurdarsteller,Amateurdarsteller,Amateurdarsteller,Amateurdarstellerin,0,dereko
Amateurfilmer,Amateurfilmer,Amateurfilmer,Amateurfilmerin,0,dereko
Amateurfotograf,Amateurfotograf,Amateurfotograf,Amateurfotografin,0,dereko
Amateurmusiker,Amateurmusiker,Amateurmusiker,Amateurmusikerin,0,dereko
Amateursänger,Amateursänger,Amateursänger,Amateursängerin,0,dereko
Amerikaner,Amerikaner,Amerikaner,Amerikanerin,0,dereko
Ampelmännchen,Ampelmännchen,Ampelmännchen,Ampelfigur,1,geschicktgendern
Ampelmännchen,Ampelmännchen,Ampelmännchen,Ampelfigürchen,1,geschicktgendern
Ampelmännchen,Ampelmännchen,Ampelmännchen,Ampelmenschlein,1,geschicktgendern
Amtsanwalt,Amtsanwalt,Amtsanwalt,Amtsanwältin,0,dereko
Amtsarzt,Amtsarzt,Amtsarzt,Amtsärztin,0,dereko
Amtsinhaber,Amtsinhaber,Amtsinhaber,Amt innehabende Person,1,geschicktgendern
Amtsinhaber,Amtsinhaber,Amtsinhaber,Amtsinhaberin,0,dereko
Amtsinhaber,Amtsinhaber,Amtsinhaber,amtierende Person,1,geschicktgendern
Amtsinhaber,Amtsinhaber,Amtsinhaber,amtsverantwortliche Person,1,geschicktgendern
Amtsinhaber,Amtsinhaber,Amtsinhaber,mit einem Amt betraute Person,1,geschicktgendern
Amtskollege,Amtskollege,Amtskollege,Amtskollegin,0,dereko
Amtsleiter,Amtsleiter,Amtsleiter,Amtsleiterin,0,dereko
Amtstierarzt,Amtstierarzt,Amtstierarzt,Amtstierärztin,0,dereko
Amtsträger,Amtsträger,Amtsträger,Amtsträgerin,0,dereko
Analphabet,Analphabet,Analphabet,Analphabetin,0,dereko
Analphabet,Analphabet,Analphabet,Person ohne Lesefähigkeit,1,geschicktgendern
Analphabet,Analphabet,Analphabet,"Person, die nicht lesen und schreiben kann",1,geschicktgendern
Analphabet,Analphabet,Analphabet,des Lesens nicht mächtige Person,1,geschicktgendern
Analphabet,Analphabet,Analphabet,des Lesens unkundige Person,1,geschicktgendern
Analphabet,Analphabet,Analphabet,leseunfähige Person,1,geschicktgendern
Analphabet,Analphabet,Analphabet,leseunkundige Person,1,geschicktgendern
Analyst,Analyst,Analyst,Analystin,0,dereko
Analytiker,Analytiker,Analytiker,Analytikerin,0,dereko
Analytiker,Analytiker,Analytiker,analysierende Person,1,geschicktgendern
Anarchist,Anarchist,Anarchist,Anarchistin,0,dereko
Anarchosyndikalist,Anarchosyndikalist,Anarchosyndikalist,Anarchosyndikalistin,0,dereko
Anbieter,Anbieter,Anbieter,Anbieterin,0,dereko
Anbieter,Anbieter,Anbieter,Herstellung,1,geschicktgendern
Anbieter,Anbieter,Anbieter,anbietende Person,1,geschicktgendern
Anbieter,Anbieter,Anbieter,angebotsmachende Person,1,geschicktgendern
Anbieter,Anbieter,Anbieter,angebotsstellende Person,1,geschicktgendern
Andauer,Andauer,Andauer,Andauerin,0,dereko
Anforderer,Anforderer,Anforderer,anfordernde Abteilung,1,geschicktgendern
Anforderer,Anforderer,Anforderer,anfordernde Person,1,geschicktgendern
Anforderungsmanager,Anforderungsmanager,Anforderungsmanager,Anforderungsmanagerin,0,dereko
Anfänger,Anfänger,Anfänger,Anfängerin,0,dereko
Anfänger,Anfänger,Anfänger,Person ohne Vorerfahrung,1,geschicktgendern
Anfänger,Anfänger,Anfänger,Person ohne Vorkenntnisse,1,geschicktgendern
Anfänger,Anfänger,Anfänger,beginnende Person,1,geschicktgendern
Anfänger,Anfänger,Anfänger,unerfahrene Person,1,geschicktgendern
Anfängerkurs,Anfängerkurs,Anfängerkurs,Einstiegskurs,1,geschicktgendern
Anfängerkurs,Anfängerkurs,Anfängerkurs,Grundkurs,1,geschicktgendern
Anfängerkurs,Anfängerkurs,Anfängerkurs,Kurs für Menschen ohne Vorerfahrung,1,geschicktgendern
Anfängerkurs,Anfängerkurs,Anfängerkurs,Kurs für Menschen ohne Vorkenntnisse,1,geschicktgendern
Anführer,Anführer,Anführer,Anführerin,0,dereko
Anführer,Anführer,Anführer,Führung,1,geschicktgendern
Anführer,Anführer,Anführer,Führungsfigur,1,geschicktgendern
Anführer,Anführer,Anführer,Leitung,1,geschicktgendern
Anführer,Anführer,Anführer,Oberhaupt,1,geschicktgendern
Anführer,Anführer,Anführer,anführende Person,1,geschicktgendern
Anführer,Anführer,Anführer,leitende Person,1,geschicktgendern
Angehörige,Angehörige,Angehöriger,Familienmitglied,1,geschicktgendern
Angehörige,Angehörige,Angehöriger,Mitglied von,1,geschicktgendern
Angeklagter,Angeklagter,Angeklagter,angeklagte Person,1,geschicktgendern
Angesprochener,Angesprochener,Angesprochener,angesprochene Person,1,geschicktgendern
Angesprochener,Angesprochener,Angesprochener,kontaktierte Person,1,geschicktgendern
Angesprochener,Angesprochener,Angesprochener,lyrisches Du,1,geschicktgendern
Angler,Angler,Angler,Angelmensch,1,geschicktgendern
Angler,Angler,Angler,Angelsport betreibende Person,1,geschicktgendern
Angler,Angler,Angler,Anglerin,0,dereko
Angler,Angler,Angler,Fisch fangende Person,1,geschicktgendern
Angler,Angler,Angler,Person mit Angel,1,geschicktgendern
Angler,Angler,Angler,"Person, die angelt",1,geschicktgendern
Angler,Angler,Angler,angelnde Person,1,geschicktgendern
Angler,Angler,Angler,wer gern angelt,1,geschicktgendern
Angreifer,Angreifer,Angreifer,Angreiferin,0,dereko
Angreifer,Angreifer,Angreifer,angreifende Person,1,geschicktgendern
Anhänger,Anhänger,Anhänger,(einer Bewegung) zugehörige Person,1,geschicktgendern
Anhänger,Anhänger,Anhänger,Anhängerin,0,dereko
Anhänger,Anhänger,Anhänger,Fan,1,geschicktgendern
Anhänger,Anhänger,Anhänger,befürwortende Person,1,geschicktgendern
Anhänger,Anhänger,Anhänger,begeisterte Person,1,geschicktgendern
