ungendered,gendered
Ingenieurwesen,Technikwissenschaften; technische Wissenschaften; Technik
Inhaber (sg.),etwas innehabende Person
inhabergeführt,besitzgeführter; besitzgeleiteter
inhabergeführter Einzelhandel,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Inhaber (pl.),Inhabende
Inhaftierter,Person in Haft
Initiatoren,Initiierende
Inlineskater (pl.),Inlineskatende
Insider,"Person, die Internas kennt / weiß; Person mit besonderem Hintergrundwissen"
Inspekteur,Inspektion durchführende Person
Insasse (sg.),inhaftierte Person
Insasse [Fahrzeuginsasse],mitfahrende Person
Intendant,Intendanz
Interakteur,"interagierende Person; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Interakteure,Interagierende
Interessensvertreter,Interessensvertretung
Interessenten (pl.),Interessierte
Interessenträger,interessierte Beteiligte
Interpret,Act
Interviewer (sg.),interviewende Person
Interviewer (pl.),Interviewende
Interviewpartner (pl.),Interviewte; Befragte
Investor,"geldgebende Person; Person, die Geld investiert hat; investierende Person"
Investoren,Investierende
Italiener,aus Italien stammende Person; Person aus Italien
Jäger (sg.),jagende Person; Person auf der Jagd
Jäger (pl.),Jägerschaft; jagende Personen; Personen auf der Jagd
Jäger- und Sammler-Gesellschaft,"nomadisierende Gesellschaft, die sich von der Jagd und dem Sammeln von Pflanzen ernährt"
Jahrgangsbester,jahrgangsbeste Person
jeder,alle; alle für sich; sämtliche
... Jeder kann teilnehmen. ,... Alle können teilnehmen.
... Jeder einzelne sucht sich einen Platz.,... Alle suchen sich ihren eigenen Platz. / Alle suchen für sich einen Platz. / Suche dir deinen Platz.
"... jeder, der ... ","... alle, die ... ; jene, die ... "
... jeder Mitarbeiter,... sämtliche Mitarbeitenden
... jeder wie er möchte,... alle wie sie möchten
"<div class=""tooltip"">... Jedem das Seine. [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Der Gebrauch dieser Redewendung ist unabhängig von gendergerechter Sprache umstritten, da sie am Eingang des KZ Buchenwald prangte.</span> </div>",... Geschmäcker sind verschieden.
jedermann,alle; sämtliche; jeder Mensch
"jemand, der ... ","eine Person, die ...; ein Mensch, der ... "
"... Ich suche jemanden, der gut Englisch spricht. ",... Ich suche jemanden/eine Person/einen Mensch mit guten Englischkenntnissen.
Journalist,Presse; Medien; jemand von der Presse/vom Fernsehen/...; wer für die Zeitung/fürs Fernsehen berichtet
Journalisten,im Journalismus Tätige/Arbeitende; Medienschaffende; Presse; die Medien
Jubilar,Jubiläum begehende Person; Jubiläum feiernde Person
Juden (pl.),Menschen jüdischen Glaubens; jüdische Menschen; Mitglieder / Angehörige der jüdischen Gemeinschaft / des jüdischen Volkes
Jugendlicher (sg.),junge Person; junger Mensch; Teenie; Teen; Teenager
Jungfrau,"sexuell unerfahrene Person; Person, die noch keinen Geschlechtsverkehr hatte"
jungfräulich,unangetastet; makellos; unberührt; unverändert; ursprünglich; rein; frisch; unerschlossen; unbearbeitet
Jurist,Person mit juristischer Ausbildung; Person mit juristischem Sachverstand
Juror,Jurymitglied
Justiziar,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kamerad [militärisch],Wegbegleitung; solidarisch wegbegleitende Person; Teammitglied
Kameramann,Kameraperson; Kamera
Kameramänner,Kamerateam; Kameraleute; Kamera; Kamerapersonen
Kämmerer,Leitung der Kämmerei
Kampfrichter (pl.),Kampfjury; Schiedsgericht
Kampfrichterverzerrung,Verzerrung durch Kampfrichtende
Kandidaten,Kandidierende
Kandidatenfragen,Personalfrage; K-Frage
Kandidatenvorschlag,Personalvorschlag
Kanzler,Regierung (an-)führende Person; Regierungsoberhaupt
Kanzleramt,Amt des Regierungsoberhauptes
Kanzler-Frage,K-Frage
Kapitalgeber (pl.),Investierende; Finanzierende
Kapitäne (pl.),Schiffsführende
Karnevalisten,Karneval Feiernde
Karteninhaber,"die Karte besitzende Person; Karteninhabende Person; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kassenwart,Kassenverwaltung; Finanzverwaltung; Vermögensverwaltung
Kassierer (sg.),Person an der Kasse
Katholiken,Menschen katholischen Glaubens
Käufer (pl.),Kaufende; Kundschaft
Kaufmann,Kauffachkraft; Kaufkraft
... Kaufmann für Büromanagement,... Kauffachkraft für Büromanagement
Kaufmänner,Kaufleute
kaufmännisch,zahlentechnisch; finanztechnisch; in Zahlen gesehen; kauftechnisch; in Zahlen gesehen; buchungstechnisch; fiskalisch; (markt-)wirtschaftlich; ökonomisch; geschäftlich; gewerblich; kommerziell
... eine kaufmännische Ausbildung,... Ausbildung zur Fachkraft für Büromanagement
... ein kaufmännischer Beruf,... Berufsfeld Wirtschaft
keiner,niemand
"keiner, der ... ","kein Mensch, der ...; keine Person, die ... "
Kellner (sg.),Servicekraft; Bedienung
Keramiker (sg.),Keramikfachkraft
Kernwählerschaft,Kernwahlvolk; Kernstimmvolk
KfZ-Mechaniker-Innung,KfW-Handwerks-Innung; KfZ-Innung
Kinderarztpraxis,Praxis für Kinderheilkunde
Kindergärtner,pädagogische Fachkraft; Erziehungskraft; Kita-Fachkraft
Kindermädchen,Kinderbetreuung; Aupair
Kindertagepfleger,Kindertagespflegeperson
Kläger (sg.),klagende Person
Klassensprecher,Klassenvertretung
Kleinbauern,kleine Landwirtschaftsbetriebe
Kletterer (pl.),Kletternde
Klient,"ratsuchende Person; Beratung in Anspruch nehmende Person; Person, die in die Beratung kommt; Fall; Besuch"
Klienten,Klientel; Ratsuchende
Klientenkontakt,Klientelkontakt
klientenorientiert,orientiert am Bedarf der ratsuchenden Person
Klientenzahl,Zahl der Ratsuchenden
Koch,"leitende Küchenfachkraft; Küchenpersonal; Kochprofi; Lebensmittel verarbeitende Person; in der Küche arbeitende Person; kochende Person <a href=""https://geschicktgendern.de/kontakt""> weitere, treffendere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kollege,mitarbeitende Person; Teammitglied
Kollegen,Kollegschaft; Kollegium; Teammitglieder
... Unterstützung eines Kollegen,... kollegiale Unterstützung
Kolonialherr,Kolonialmacht; Suzerän
Kolonialherren,Kolonialmächte
Kolonist,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Komiteegründer,Komiteegründung
Kommentator,kommentierender Pressemensch; kommentierende Presse
Kommentatoren,Kommentar von Medienschaffenden
Kommilitone (sg.),mitstudierende Person
Kommilitonen (pl.),Mitstudierende
Kommissionierer,Mitarbeitende in der Warenzusammenstellung
Kommunikator [als Person; nicht als Gerät],kommunizierende Person
Kommunist,kommunistisch (orientierte) Person
Komparse,stumme Rolle; Person ohne Sprechrolle; Nebenfigur
Kompetenzträger (sg.),Kompetenz tragende Person
Kompetenzträger (pl.),Kompetenztragende
Komponist,musikschaffende Person; kompositionstätige Person
Komponisten,Musikschaffende; Kompositionstätige
Konfirmand,zu konfirmierende Person; Konfi
Konfirmanden,zu Konformierende; Konfis
Konfirmanden (pl.),Jugendliche in der Konfirmationsvorbereitung
Konfirmandenunterricht,Konfirmationsunterricht
Königsdisziplin,anspruchvollste Disziplin; Spitzendisziplin
Königsklasse,Oberliga; höchste Klasse
Konkurrent ,Konkurrenz
Konsortialpartner (pl.),Konsortialbeteiligte
Konstrukteure,Konstruierende
Konsumenten ,Konsumierende; Kundschaft; einkaufende / konsumierende Zielgruppe
Kontrahent,Gegenüber
Kontoinhaber (sg.),kontoinhabende Person; kontoführende Person
Kooperationspartner (sg./pl.),in Kooperation mit; Kooperationsbeteiligte
Koordinator,Koordination
Körperspender,Körperspende
Kraftfahrer (sg.),fahrzeugführende Person
"... Welche Voraussetzungen erfüllen Sie für die
Tätigkeit als Kraftfahrer eines Absetzkippers?","... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als fahrzeugführende
Person eines Absetzkippers?"
Kraftfahrer (pl.),Kraftfahrzeugführende
Krankenpfleger (sg.),Pflegefachkraft; Pflegekraft; Pflegefachperson
Krankenpfleger (pl.),Pflegekräfte; Pflegefachpersonen; Pflegepersonal; Beschäftigte in der Krankenpflege; professionell Pflegende; Pflegende
Krankenschwester,Pflegefachkraft; Pflegekraft; Pflegefachperson
Krankenschwestern,Pflegekräfte; Pflegepersonal; Beschäftigte in der Krankenpflege; professionell Pflegende; Pflegende
Kranker,kranke Person
Kreditnehmer (sg.),kreditnehmende Person
Kreditnehmer (pl.),Kreditnehmende
[Erster] Kreisbeigeordneter,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kriegerkodex,Kodex der Kämpfenden
Kriegsverbrechertribunal,Tribunal für Kriegsverbrechen
Kriminalbeamter,Person im Beamtenverhältnis bei der Kriminalpolizei
Kritiker (pl.),Kritisierende; Kritische; kritische Stimmen
Küchenhelfer (sg.),Küchenhilfe
Kümmererin,fürsorgliche Person; kümmernder Mensch; fürsorgliches Teammitglied/Chormitglied/... 
Kunde,"Kundschaft; Klientel; kaufende Person; konsumierende Person; Mensch; Person; nutzende Person; Client; Account <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht, v.a. im Zusammenhang mit Dienstleistungen im Internet: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kunden,Kundschaft; Klientel; kaufende Personen; Menschen; Personen; Nutzende; Auftraggebende; Nachfrage; Zielgruppe; Kaufinteressierte
"... Unsere Kunden sind Unternehmen und
Privatpersonen.",... Die Nachfrage kommt von Unternehmen und Privatpersonen.
Kundenauftrag,Auftrag durch Kundschaft; Auftrag
Kundenbedürfnisse,Bedürfnisse der Kundschaft
Kundenberater,Beratung der Kundschaft
... Ihr persönlicher Kundenberater,"... Ihre persönliche Ansprechperson <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a> "
Kundenberatung,Beratung der Kundschaft
Kundenbetreuer,Betreuung der Kundschaft
Kundenbewertungen,Bewertungen; Bewertungssterne; Sterne-Bewertungen
Kundendienst,Service; Support
kundenfreundlich,praktisch zu bedienen; publikumsfreundlich; nutzungsfreundlich
Kundengruppe,"Kundschaft [mit bestimmtem Merkmal, z.B. Kundschaft mit geringer Kaufkraft]"
Kundenkontakt,Menschenkontakt; Kontakt zur Kundschaft
Kundenkonto,Nutzungskonto
kundenorientiert,publikumsorientiert
Kundenprojekt,Kundschaftsprojekt
Kundenreferenz,Referenz
Kundenservice,Service
Kundenstamm,treue Kundschaft; feste Kundschaft; Kundschaftsstamm; Klientelstamm
Kundenwerbung,Akquise
Kundenwünsche,Wünsche der Kundschaft
Kundenzentrum [digital/analog],Servicezentrum
Kundenzufriedenheit,Zufriedenheit der Kundschaft
Kunstfreunde,Kunstbegeisterte
Kunstkenner (pl.),Kunstkennende
Künstler (sg.),Act
Künstler (pl.),Kunstschaffende
Künstlername,(künstlerisches) Pseudonym; Kunstname
Kunstsammler (pl.),Kunstsammelnde
Kuratoren,Kuratierende; kuratorische Leitung
Kurier,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Kursadministrator,"Person, die den Kurs leitet; Kursadmin"
Kursbetreuer,Kursbetreuung
Kursleiter (sg.),Kursleitung; kursleitende Person
Kursteilnehmer (sg.),am Kurs teilnehmende Person
Kursteilnehmer (pl.),Kursteilnehmende; am Kurs Teilnehmende
Kurzarbeitergeld,Kurzarbeitsgeld
Laborant,Laborfachkraft
Laborarbeiter (sg.),Laborfachkraft
Lagerist,Lagerfachkraft; im Lager arbeitende Person
Laie,Mensch ohne Fachkenntnisse; fachunkundige Person; fachfremde Person
Laien,Fachunkundige; Fachfremde; Nichtkundige
Landnutzer,landnutzende Personen
Landrat,Landkreisleitung; Kreisverwaltungsleitung; Landratsamtsleitung; Dienststellenleitung; Amtsvorstand
Landsmänner,Landsleute
Landwirt,Landwirtschaft betreibende Person
Landwirte,Landwirtschaft Betreibende; landwirtschaftlich Beschäftigte; Beschäftigte in der Landwirtschaft
Lastkraftwagenfahrer,Lastkraftwagen fahrende Person
Läufer,laufsporttreibende Person
Lebenspartner,Liebesmensch; Lebensmensch
Lehrer (sg.),Lehrperson; Lehrkraft
Lehrer (pl.),Lehrkräfte; Lehrpersonen; das Kollegium; Lehrende; Unterrichtende
Lehrerberuf,Lehrberuf
Lehrerkonferenz,Kollegiumskonferenz; Konferenz; Konferenz der Lehrkräfte; Besprechung der Lehrkräfte
Lehrerpult,Tisch/Pult der Lehrkraft; Schreibtisch
Lehrerzimmer,Arbeitszimmer der Lehrkräfte; Teamraum
Lehrling,Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Lehrlinge,Auszubildende; Lernende
Lehrmeister (pl.),Ausbildende; Lehrende
Lehrstuhlinhaber (sg.),Leitung des Lehrstuhles
Lehrstuhlinhaber (pl.),Leitende eines Lehrstuhles
Lehrstuhlleiter (sg.),Leitung des Lehrstuhls
Lehrstuhlleiter (pl.),Leitende eines Lehrstuhles
Leibeigener,leibeigene Person
Leibeigene,[im Plural ist dieses Wort schon gendergerecht]
Leiharbeiternehmer (pl.),Leiharbeitnehmende
Leistungsbezieher (pl.),Leistung Beziehende
Leistungsträger,refinanzierende Ämter und Behörden
Leiter (sg./pl.),Leitung
Lektor,das Lektorat
... Anmerkungen des Lektors,... Anmerkungen des Lektorats
Lektorstelle,Lektoratsstelle
[Fahrzeug-]Lenker,Fahrzeug lenkende Person
Lernbegleiter (sg.),lernbegleitende Person
Lerntyp,[Begriff ist schon genderneutral]
Lernender (sg.),lernende Person
Leser (sg.),lesende Person
... An den werten Leser,... An die werten lesenden Personen
Leser (pl.),Lesepublikum; Leserschaft; lesende Zielgruppe; Lesende
Leserausweis,Leseausweis; Bibliotheksausweis
Leserbrief,Zuschrift / Kommentar zum Artikel xy
Leserbriefe,Ihre Kommentare/Meinungen; offene Zuschriften
leserfreundlich,lesefreundlich
Lesermarkt,"Markt der Lesenden; Lesendengeschäft; Lesendenabsatz <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Lieber ... [informelle Anrede bei Briefen],An ...; Hallo ...; Guten Tag ... 
Liebhaber (pl.),Begeisterte
... Wir richten uns an Modellbauliebhaber.,... Wir richten uns an Modellbaubegeisterte.
Liedermacher (pl.),Liederschaffende; Lieder kreierende Personen
Lieferant,Lieferfirma; lieferndes Unternehmen; Lieferunternehmen
Linkshänder,linkshändige Person
Literaturkritiker (sg.),Literatur kritisierende Person
Literaturkritiker (pl.),Literaturkritisierende
Lizenznehmer (pl.),Lizenznehmende
Lobbyist,Interessen vertretende Person
Logopäde,(medizinische) Fachkraft für Logopädie
Macher (pl.),Aktive
Mädchen für alles,Mensch für alles
Mädchenname,Geburtsname
Magier,(schwarze) Zauberkunst ausübende Person
Makler (pl.),Häuser vertreibende Personen
Maklerverbund,Maklerei
Maler (sg.),Werkschaffende Person der Malerei; Wandgestaltende Person
Maler (pl.) [künstlerisch],Werkschaffende der Malerei
man,Sie; viele; wir; ich
"... Wenn man durchs Fenster sieht, kann man das Meer sehen.","... Wenn Sie durch das Fenster blicken, können Sie das Meer sehen."
"... Wenn es zu laut ist, kann man nichts verstehen.","... Wenn es zu laut ist, können viele nichts verstehen."
... Man glaubt es kaum.,... Ich glaube es kaum.
Manager (sg.),Management; Unternehmensführung; Führungskraft
manch einem,manch einer Person
"... Manch einem ist gar nicht klar, was er damit anrichtet.","... Manchen ist gar nicht klar, was sie damit anrichten."
Mandant,Mandantschaft; auftraggebende Person
Mandatsträger,Mandat innehabende Person; mandatstragende Person
Manipulant,manipulierende Person
Mann ... [im Sinne von:],Person(en) ... 
... es kamen 40 Mann.,... es kamen 40 Personen / Leute.
... alle Mann an Bord!,... alle an Bord!
... Mann über Board!,... Person über Board!
... Der Gewinn betrug 20 Euro pro Mann.,... Der Gewinn betrug 20 Euro pro Person / Nase.
... etwas am Mann tragen,... etwas bei sich tragen
... etwas an den Mann bringen,... etwas unter die Leute bringen; etwas verkaufen; ein Anliegen loswerden
... Not am Mann,... Notsituation
... Ein-Mann-Betrieb,... Eine-Person-Betrieb
... Zwei-Mann-Zelt,... Zwei-Personen-Zelt; Zweier-Zelt
... seinen Mann stehen,... auf sich gestellt sein; sich behaupten; sich bewähren
... 3. Mann [beim Skat],... 3. spielende Person
... 1000-Mann-Quote,... 1000-Personen-Quote
Männchen [z.B. bei Brettspielen],Figürchen; Spielfigur
Manndeckung [im Sport],1:1-Verteidigung; 1:1-Deckung; personenorientierte Deckung; Direktdeckung [Gegensatz zur Raumdeckung]
mannlos,personenlos; computergesteuert; autonom; unbesetzt; selbstständig
mannshoch,lebensgroß
Manntage,Arbeitstage; Leistungstage; Personentage
Mannsbild,"gestandene Person, Powermensch"
Mannschaft,Team; Gruppe; Kollektiv; Besatzung [bei Schiffen]
... Damenmannschaft,... Damenteam
... Frauenmannschaft,... Frauenteam
... Mädchenmannschaft,... Mädchenteam
Mannstunde,Personenstunde
Manpower,Arbeitskraft; Humanpower
Marktakteure,Am Markt agierende Menschen und Institutionen
Marktschreier (pl.),Angebotsausrufende
Masterand,studentische Stelle zur Anfertigung der Masterarbeit
Mathematiker (sg.),mathematisch qualifizierte Person; sich mit Mathematik befassende Person
Matrose,"<div class=""tooltip"">Mitglied der Schiffsbesatzung (mit unterstem Dienstrang) [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">u.U. zu ungenau, da z.B. auch die*der Kapitän*in Mitglied der Schiffsbesatzung ist</span> </div>"
Mechaniker,Fachkraft für Mechanik
... KfZ-Mechaniker-Innung,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Mechatroniker,Fachkraft für Mechatronik
Mediator,Mediation; Mediationsperson; Mediation anbietende Person
Medienanbieter (pl.),Medienorganisationen
Mediengestalter (pl.),Mediengestaltende
Medienpartner,in Medienpartnerschaft mit ... 
Mediziner (pl.),medizinisches/ärztliches Fachpersonal
Mehrbenutzerfunktion,Funktion für mehrere Nutzende
Meinungsführer (sg.),meinungsführende Person
Meinungskontrahent,Meinungsgegenpart
Meister [im Handwerk],Person mit höherer Fachprüfung
(Deutscher / Welt-) Meister,Erster Platz der Deutschen Meisterschaft / Weltmeisterschaft; Erstplatzierte (pl.)
... Anna Meyer oder Simon Schmidt - wer wird Deutscher Meister?,... Anna Mayer oder Simon Schmidt - wer belegt den ersten Platz der Deutschen Meisterschaft?
Meisterschaft,Turnier; Wettbewerb
Mensch,[ist bereits genderneutral; analog zur PERSON]
Mentee,begleitete Person; beratene Person; geförderte Person; Person in Ausbildung; durch Mentoring begleitete/unterstützte Person
Mentor,Vorbild; fürsprechende Person; beratende Person; fördernde Person; Begleitung; Kontaktperson; Ansprechperson; Ausbildungsbeauftragte Person
... betrieblicher Mentor,... betriebliche Mentoringperson; betriebliche Mentorperson
Mieter (sg.),Mietperson; Mietpartei
Mieterverein,Mietverein; Mietvertretung
Migrant,Person mit Migrationshintergrund; eingewanderte Person; der/die Migrierte
Migranten (pl.),Personen mit Migrationshintergrund; Eingewanderte; Zugewanderte; Migrierte
Milchmädchenrechnung,Trugschluss; Irrtum; falsche Erwartung; Fehlschluss; Illusion
Minderjähriger (sg.),"Kind unter 18; minderjährige Person <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Minderjährige (pl.),[im Plural ist dieses Wort schon gendergerecht]
Mindestteilnehmerzahl,Mindestanzahl Teilnehmende
Minijobber,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Minister (sg.),Ressortleitung
Minister (pl.),Ressortleitende
Ministerpräsidenten,MPs; Landesoberhaupt; Vorsitz der Resortleitenden
Ministrant,Mini
Ministranten,Minis
Mitarbeiter (sg.),Arbeitskraft; Teammitglied
Mitarbeiter (pl.),Mitarbeitende; Beschäftigte; Angestellte; Tätige; Belegschaft; Teammitglieder; Arbeitskräfte; Kollegium; Personal; Teammitglieder; Werktätige; Betriebs-/Konzern-/Firmen-/Unternehmensangehörige; bei uns beschäftigte Personen; Festangestellte; Arbeitsgemeinschaft; Arbeitsgruppe; Beteiligte; Crew; Gruppe; Servicekräfte; Servicepersonal; Team
... Mitarbeiter in Teilzeit,... Teilzeitkraft
... Mitarbeiter der Hochschule / Unimitarbeiter,... Hochschulpersonal
"... freiwillige Mitarbeiter eines Projektes, eines Vereins, einer Jugendgruppe (nicht als Beschäftigte) (pl.)",... Mitglieder; Helfende; Freiwillige; Unterstützende
Mitarbeiterausweis,Firmenausweis; Mitarbeitendenausweis; MA-Ausweis
Mitarbeiterbeurteilung,Personalbeurteilung; Angestelltenbeurteilung
Mitarbeiterführung,Personalmanagement; Personführung; Personalpolitik
Mitarbeitergespräch,Dienstbesprechung; Qualifikationsgespräch; Arbeitsgespräch; Beurteilungsgespräch; Jahresgespräch; Beschäftigtengespräch; Personalgespräch; Mitarbeitendengespräch
Mitarbeitermobilität,Mobilität der Mitarbeitenden; Mitarbeitendenmobilität
Mitarbeiterorientierung,orientiert an den Mitarbeitenden; Mitarbeitendenorientierung
Mitarbeiterperspektive,Perspektive der Mitarbeitenden; Perspektive der Belegschaft
Mitarbeiterschulung,Schulung; Schulung der Belegschaft; MA-Schulung; Schulung der Mitarbeitenden
Mitarbeitersuche,Personalsuche; Mitarbeitendensuche
Mitarbeiterstellen ,Stellen für Mitarbeitende; Arbeitsplätze
Mitarbeiterverpflegung,Personalverpflegung
Mitbewerber (pl.),die Konkurrenz
Mitbewohner (pl.),Wohnungsteilende
Mitbürger (sg.),Mitmensch
Mitbürger (pl.),Landsleute; Mitmenschen; Staatsangehörige
Mitfahrergelegenheit,Mitfahrgelegenheit
Mitglied,[als Neutrum ist dieses Wort schon gendergerecht: DAS Mitglied]
Mitglieder,"[als Neutrum ist dieses Wort schon gendergerecht: DAS Mitglied (sg.) - die Mitglieder (pl.); wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Zugehörige; Angehörige; Teil von ... "
... Alle Vereinsmitglieder sind zur Hauptversammlung eingeladen.,"... [als Neutrum ist das Wort Vereinsmitglieder schon gendergerecht: DAS Mitglied (sg.), die Mitglieder (pl.); wer dennoch eine Alternative bevorzugt, kann diese hier nutzen:] Alle Vereinsangehörigen / -zugehörigen sind zur Hauptversammlung einladen. / Als Teil des Vereins sind Sie zur Hauptversammlung eingeladen."
Mitläufer (sg.),Folge leistende Person; involvierte Person; passives Engagement; passive Rolle; mitlaufende Person
... Die Person wurde bei der Entnazifizierung als Mitläufer eingestuft.,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Mitschüler (pl.),andere Kinder aus der Klasse / Schule; Mitlernende
Mitspieler (pl.) [beim Sport],Mitspielende
Mitstreiter (pl.),Mitwirkende; Teilnehmende; Gleichgesinnte
Mittelsmann,Mittelsperson; Mittelsmensch
Mittelständler (pl.),mittelständische Unternehmen; Angehörige des Mittelstandes
Mitwisser (pl.),Eingeweihte
Moderator,Moderation; moderierende Person
Moderatoren,Moderationsteam; Moderierende
Modeschöpfer (pl.),Mode Schaffende
Mofafahrer (pl.),Mofa Fahrende
Mönch,Ordensperson
Mönche,Ordensleute
Monteur,montierende Person
Mörder (sg.),einen Mord begehende Person; mordende Person
Müllmann,Müll entsorgende Person; Fachkraft für Kreislauf- und Abfallwirtschaft
Müllmänner,Beschäftigte der Müllabfuhr; Müllabfuhr
Multiplikator,"Person, die Informationen/Wissen weitergibt; Wissen/Informationen weitergebende Person"
Münchner (pl.),die Münchner Bevölkerung
Museologe,museumswissenschaftliches Fachpersonal
Musiker (sg.),Act
Musiker (pl.),Musikausübende; Musikschaffende; Musikspielende; Musizierende; Mitglieder eines Orchesters;  Bandmitglieder
Muslim,Mensch muslimischen Glaubens
Musterknabe,Vorbild; Musterschulkind
Mutter,Elternteil
... Mutter-Kind-Gruppe,... Eltern-Kind-Gruppe
… Mutter-Kind-Parkplatz,… Familienparkplatz
... Mutter Natur,... Natur; (freie/unberührte) Landschaft; Erde; Schöpfung; (natürliche) Umwelt; (das) Grüne; Naturreich
Mütterberatung,Elternberatung
mütterlicherseits,"<div class=""tooltip"">[vornamen-]licherseits [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">bei gleichgeschlechtlichen Elternpaaren, z.B. brittalicherseits, martinalicherseits</span> </div>"
Muttermal,Pigmentstörung; Leberfleck
Muttermilch,"<div class=""tooltip"">Elternmilch; Brustmilch[themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">bei transgeschlechtlichen, stillenden Vätern</span> </div>"
Mutterschutz,"<div class=""tooltip"">Elternschutz [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">auch transgeschlechtliche Väter haben Anspruch auf ""Mutterschutz""</span> </div>"
Muttersprache,"Erstsprache; erste Sprache; Hauptsprache; Elternsprache; <div class=""tooltip"">Familiensprache; Heimatsprache[themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Feedback eines Users: Aus der zuerst erlernten Sprache kann man nicht folgern, welches Land eine Person als Heimat empfindet (Kind wächst in Deutschland auf, lernt zu Hause aber erst polnisch, dann deutsch). 'Heimatsprache' kann daher irreführend sein. In internationalen Familie können viele Sprachen gesprochen werden. 'Familiensprache' suggeriert, dass in Familien immer nur eine Sprache gesprochen wird.</span> </div>"
Muttersprachler,"Person mit der Erstsprache XYZ; Person, die XYZ als Erstsprache spricht; xyz-erstsprachliche Person (z.B. polnisch-erstsprachliche Person)"
... Für diese Stelle suchen wir einen englischen Muttersprachler. ,"... Für diese Stelle suchen wir eine Englisch-erstsprechende Person. / Für diese Stelle suchen wir eine Person, deren erste Sprache Englisch ist."
Nachahmer (pl.),Menschen; andere; Menschen gleicher Gesinnung
"... Er tat es, um Nachahmer zu ähnlichen Taten anzustiften.","... Er tat es, um andere zu ähnlichen Taten anzustiften."
Nachbarn,nebenan Wohnende
Nachbarn (in einem Wohnhaus; pl.),Hausgemeinschaft
Nachbarschaft,Umgebung
Nachfahre,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Nachfahren,Nachkommenschaft; Nachkommen
Nachfolger (sg.),Nachfolge
"... Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger gefunden wurde.","... Sie übernimmt übergangsweise die Leitung, bis eine Nachfolge gefunden wurde."
Nachfrager (pl.),Nachfragende
Nachrücker,nachrückende Person(en)
Nächster,nächste Person
Nachtschwärmer (sg.),Nachtmensch; Partymensch
Nachtschwärmer (pl.),Nachtleute
Nachwuchswissenschaftler (pl.),wissenschaftlicher Nachwuchs
Näherinnen,Nähende
Namensvetter (pl.),Gleichnamige
Narr [Karneval],"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Narren [Karneval],Närrische
