ungendered,gendered
benutzerfreundlich,praktisch / leicht zu bedienen; bedienungsfreundlich; benutzungsfreundlich
Benutzerfreundlichkeit,Nutzungsfreundlichkeit; Benutzungsfreundlichkeit
Benutzerfunktion,zielgruppengerechte Funktion; nutzenorientierte Funktion
Benutzerkonto,Account; Konto; Zugang; Profil
Benutzername,Anmeldename; Nickname; Pseudonym
Benutzeroberfläche,Bedienoberfläche; Benutzungsoberfläche
Benutzerordnung,(Be-)Nutzungsordnung
Benutzerportal,Benutzungsportal
Benutzerschnittstelle,Interaktionsschnittstelle
Benutzerverwaltung,Kontoverwaltung; Zugangsverwaltung
Beobachter (pl.),Beobachtende
... Medien und politische Beobachter gehen von zwei möglichen Szenarien aus.,... Medien und politisch beobachtende Personen gehen von zwei möglichen Szenarien aus.
Beobachtergruppe,Beobachtendengruppe
Berater (sg.),beratende Person; die Beratung erfolgt durch ... ; Sie werden beraten von ... 
Berater (pl.),Beratende
Beratertätigkeit,beratende Tätigkeit; Beratung
Beraterverzeichnis,Verzeichnis beratender Personen
Berechtigter,berechtigte Person
Bergführer,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
bergmännisch,im Bergbau tätig
Bergsteiger (pl.),Bergbegeisterte; Bergsteigende
Berichterstatter (sg.),Bericht erstattende Person
Berichterstatter (pl.),Berichtende
Berliner (pl.),die Berliner Bevölkerung
Berufsanfänger (pl.),Berufsunerfahrene; Berufseinsteigende
Berufskraftfahrer (sg.),qualifizierte fahrzeugführende Person (nach BKrFQG)
Berufskraftfahrer (pl.),"<div class=""tooltip"">Berufskraftfahrende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Begriff wird z.B. von TÜV Nord offiziell benutzt</span> </div>"
Berufsschüler (pl.),Auszubildende; Beruflernende; eine Berufsschule Besuchende; an einer Berufsschule Lernende
Beschäftigter (sg.),Arbeitskraft; beschäftigte Person; angestellte Person; Person im Beschäftigungsverhältnis
Beschuldigter,beschuldigte Person
Beschwerdeführer (pl.),Beschwerdeführende
Besitzer (sg.),besitzhabende Person
Bestatter,Fachkraft für Bestattungen
Besitzer von Immobilieneigentum (sg.),Immobilien besitzende Person
Besteller (sg.),bestellende Person; Kundschaft
Besucher (pl.),"<div class=""tooltip"">Gäste [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">siehe Anmerkung unter 'Gäste'</span> </div>; Publikum; Besuche; Besuchende"
Besucheranschrift,Besuchsanschrift
Besuchergruppe,Besuchsgruppe
Besuchermagnet,Publikumsmagnet; Besuchsmagnet; Tourismusmagnet; Anziehungspunkt; Sehenswürdigkeit
Besucherparkplatz,Besuchsparkplatz
Besucherrückgang,sinkende Nachfrage; Rückgang der Besuche; … wurde weniger frequentiert als im Jahr zuvor …
Besucherstrom,Publikumsstrom
Besucherzahl,Besuchszahl; Frequentierung; Klickzahl; Interesse; Inanspruchnahme; Gästezahlen
Betrachter (pl.),Betrachtende
Betreiber,Betriebsgesellschaft; betreibende Firma; Betrieb
... Der Netzbetreiber fordert ... ,... Von Seiten des Netzbetriebs wird ... gefordert.
Betreuer (sg.),Betreuungsperson
Betreuer (pl.),Betreuungspersonal
Betriebsarzt,Betriebsärztlicher Dienst
